words,pos,dfns
pitch,verb (used with object), to throw or toss.
pitch,verb (used with object), Baseball. 
pitch,verb (used with object), to slope downward; dip.
pitch,verb (used with object)," to plunge with alternate fall and rise of bow and stern, as a ship ( roll )."
pitch,verb (used with object), (of a rocket or guided missile) to deviate from a stable flight attitude by oscillations of the longitudinal axis in a vertical plane about the center of gravity.
pitch,verb (used with object), to fix a tent or temporary habitation; encamp:
pitch,verb (used with object), Golf. to play a pitch shot.
pitch,verb (used with object)," Informal. to attempt to sell or win approval for something or someone by advertising, promotion, etc.:"
pitch,verb (used with object), Rare. to become established; settle down.
pitch,verb (used with object)," relative point, position, or degree:"
pitch,verb (used with object), the degree of inclination or slope; angle:
pitch,verb (used with object), the highest point or greatest height:
pitch,verb (used with object)," (in music, speech, etc.) the degree of height or depth of a tone or of sound, depending upon the relative rapidity of the vibrations by which it is produced."
pitch,verb (used with object), Music. the particular tonal standard with which given tones may be compared in respect to their relative level.
pitch,verb (used with object), Acoustics. the apparent predominant frequency sounded by an acoustical source.
pitch,verb (used with object), act or manner of pitching.
pitch,verb (used with object), a throw or toss.
pitch,verb (used with object)," Baseball. the serving of the ball to the batter by the pitcher, usually preceded by a windup or stretch."
pitch,verb (used with object)," a pitching movement or forward plunge, as of a ship."
pitch,verb (used with object), upward or downward inclination or slope:
pitch,verb (used with object), a sloping part or place:
pitch,verb (used with object), a quantity of something pitched or placed somewhere.
pitch,verb (used with object), Cricket. the central part of the field; the area between the wickets.
pitch,verb (used with object), Informal.  
pitch,verb (used with object), the specific location in which a person or object is placed or stationed; allotted or assigned place.
pitch,verb (used with object)," Chiefly British. the established location, often a street corner, of a beggar, street peddler, newspaper vendor, etc."
pitch,verb (used with object), Aeronautics. 
pitch,verb (used with object), (of a rocket or guided missile)
pitch,verb (used with object)," Also called  plunge. Geology. the inclination of a linear feature, as the axis of a fold or an oreshoot, from the horizontal."
pitch,verb (used with object), Machinery. 
pitch,verb (used with object)," (in carpet weaving) the weftwise number of warp ends, usually determined in relation to 27 inches (68.6 centimeters)."
pitch,verb (used with object), Cards. 
pitch,verb (used with object), Masonry. a true or even surface on a stone.
pitch,verb (used with object), (of typewriter type) a unit of measurement indicating the number of characters to a horizontal inch:
pitch,verb (used with object), Informal. 
pitch,verb (used with object)," to choose, especially casually or without forethought; decide on:"
pitch,verb (used with object), Informal. 
pitch,noun," any of various dark, tenacious, and viscous substances for caulking and paving, consisting of the residue of the distillation of coal tar or wood tar."
pitch,noun," any of certain bitumens, as asphalt:"
pitch,noun, any of various resins.
pitch,noun, the sap or crude turpentine that exudes from the bark of pines.
pitch,noun, to smear or cover with pitch.
place,noun," a particular portion of space, whether of definite or indefinite extent."
place,noun, space in general:
place,noun, the specific portion of space normally occupied by anything:
place,noun, any part or spot in a body or surface:
place,noun, a particular passage in a book or writing:
place,noun," a space or seat for a person, as in a theater, train, etc.:"
place,noun," position, situation, or circumstances:"
place,noun, a proper or appropriate location or position:
place,noun," a job, post, or office:"
place,noun, a function or duty:
place,noun," proper sequence or relationship, as of ideas, details, etc.:"
place,noun, high position or rank:
place,noun, a region or area:
place,noun," an open space, or square, as in a city or town."
place,noun," a short street, a court, etc."
place,noun," a portion of space used for habitation, as a city, town, or village:"
place,noun," a building, space, location, etc., set apart or used for a specific purpose: You are encouraged to dress modestly in places of worship."
place,noun, a part of a building:
place,noun," a residence, dwelling, or house:"
place,noun, lieu; substitution (usually followed by of ):
place,noun, a step or point in order of proceeding:
place,noun, a fitting or promising opportunity:
place,noun, a reasonable ground or occasion:
place,noun, a mental or emotional state:
place,noun, Arithmetic. 
place,noun, Drama.  one of the three unities. Compare unity ( def 8 ).
place,noun, Sports. 
place,noun," places, Theater. a call summoning performers for the beginning of a performance or an act."
place,noun, room or space for entry or passage:
place,noun, to put in the proper position or order; arrange; dispose:
place,noun," to put or set in a particular place, position, situation, or relation."
place,noun, to put in a suitable place for some purpose:
place,noun, to put into particular or proper hands:
place,noun, to give (an order or the like) to a supplier:
place,noun, to appoint (a person) to a post or office:
place,noun," to find a place, situation, etc., for (a person):"
place,noun, to determine or indicate the place or value of:
place,noun, to assign a certain position or rank to:
place,noun, to succeed in attaining a position for in an athletic or other contest:
place,noun," to identify by connecting with the proper place, circumstances, etc.:"
place,noun, to employ (the voice) for singing or speaking with consciousness of the bodily point of emphasis of resonance of each tone or register.
place,noun, Sports. 
place,noun," to earn a specified standing with relation to others, as in an examination, competition, etc.:"
plain,adjective, clear or distinct to the eye or ear: to stand in plain view.
plain,adjective," clear to the mind; evident, manifest, or obvious:"
plain,adjective, conveying the meaning clearly and simply; easily understood:
plain,adjective, downright; sheer; utter; self-evident:
plain,adjective, free from ambiguity or evasion; candid; outspoken:
plain,adjective," without special pretensions, superiority, elegance, etc.; ordinary:"
plain,adjective, not beautiful; physically unattractive or undistinguished:
plain,adjective, without intricacies or difficulties.
plain,adjective," ordinary, simple, or unostentatious:"
plain,adjective," with little or no embellishment, decoration, or enhancing elaboration:"
plain,adjective," without a pattern, figure, or device:"
plain,adjective," not rich, highly seasoned, or elaborately prepared, as food:"
plain,adjective, flat or level:
plain,adjective," unobstructed, clear, or open, as ground, a space, etc."
plain,adjective, Cards. being other than a face card or a trump.
plain,adjective, clearly and simply:
plain,adjective," an area of land not significantly higher than adjacent areas and with relatively minor differences in elevation, commonly less than 500 feet (150 meters), within the area."
plain,adjective, The Plains. Great Plains.
plain,verb (used without object), to complain.
plan,noun," a scheme or method of acting, doing, proceeding, making, etc., developed in advance:"
plan,noun, a design or scheme of arrangement:
plan,noun, a specific project or definite purpose:
plan,noun," Also called  plan view. a drawing made to scale to represent the top view or a horizontal section of a structure or a machine, as a floor layout of a building."
plan,noun," a representation of a thing drawn on a plane, as a map or diagram:"
plan,noun," (in perspective drawing) one of several planes in front of a represented object, and perpendicular to the line between the object and the eye."
plan,noun," a formal program for specified benefits, needs, etc.:"
plan,noun," to arrange a method or scheme beforehand for (any work, enterprise, or proceeding):"
plan,noun, to make plans for:
plan,noun," to draw or make a diagram or layout of, as a building."
plan,noun, to make plans:
plan-,N/A, variant of plano- 1 before a vowel:
plane,noun, a flat or level surface.
plane,noun, Geometry. a surface generated by a straight line moving at a constant velocity with respect to a fixed point.
plane,noun, Fine Arts. an area of a two-dimensional surface having determinate extension and spatial direction or position:
plane,noun," a level of dignity, character, existence, development, or the like:"
plane,noun, Aeronautics. 
plane,noun, Architecture. a longitudinal section through the axis of a column.
plane,noun," flat or level, as a surface."
plane,noun, of or relating to planes or plane figures.
plane,noun, to glide or soar.
plane,noun, (of a boat) to rise partly out of the water when moving at high speed.
plane,noun, Informal. to fly or travel in an airplane:
plane,noun," Carpentry. any of various woodworking instruments for paring, truing, or smoothing, or for forming moldings, chamfers, rabbets, grooves, etc., by means of an inclined, adjustable blade moved along and against the piece being worked."
plane,noun, a trowellike tool for smoothing the surface of clay in a brick mold.
plane,noun, to smooth or dress with or as if with a plane or a planer.
plane,noun, to remove by or as if by means of a plane (usually followed by away or off ).
plane,noun, to work with a plane.
plane,noun, to function as a plane.
plane,noun, plane tree.
planet,noun, Astronomy. 
planet,noun," Astrology. the sun, moon, Mercury, Venus, Mars, Jupiter, Saturn, Uranus, Neptune, or Pluto: considered sources of energy or consciousness in the interpretation of horoscopes."
planning,noun, the act or process of making a plan or plans.
plant,noun," Botany. any member of the kingdom Plantae, comprising multicellular organisms that typically produce their own food from inorganic matter by the process of photosynthesis and that have more or less rigid cell walls containing cellulose, including vascular plants, mosses, liverworts, and hornworts: some classification schemes may include fungi, algae, bacteria, and certain single-celled eukaryotes that have plantlike qualities, as rigid cell walls or the use of photosynthesis."
plant,noun," an herb or other small vegetable growth, in contrast with a tree or a shrub."
plant,noun," a seedling or a growing slip, especially one ready for transplanting."
plant,noun," the equipment, including the fixtures, machinery, tools, etc., and often the buildings, necessary to carry on any industrial business:"
plant,noun, the complete equipment or apparatus for a particular mechanical process or operation:
plant,noun," the buildings, equipment, etc., of an institution:"
plant,noun," Slang. something intended to trap, decoy, or lure, as criminals."
plant,noun," Slang. a scheme to trap, trick, swindle, or defraud."
plant,noun," a person, placed in an audience, whose rehearsed or prepared reactions, comments, etc., appear spontaneous to the rest of the audience."
plant,noun," a person placed secretly in a group or organization, as by a foreign government, to obtain internal or secret information, stir up discontent, etc."
plant,noun," Theater. a line of dialogue, or a character, action, etc., introducing an idea or theme that will be further developed at a later point in the play:"
plant,noun," to put or set in the ground for growth, as seeds, young trees, etc."
plant,noun, to furnish or stock (land) with plants:
plant,noun," to establish or implant (ideas, principles, doctrines, etc.):"
plant,noun, to introduce (a breed of animals) into a country.
plant,noun," to deposit (young fish, or spawn) in a river, lake, etc."
plant,noun, to bed (oysters).
plant,noun, to insert or set firmly in or on the ground or some other body or surface:
plant,noun," Theater. to insert or place (an idea, person, or thing) in a play."
plant,noun, to place; put.
plant,noun," to place with great force, firmness, or determination:"
plant,noun, to station; post:
plant,noun, to locate; situate:
plant,noun," to establish (a colony, city, etc.); found."
plant,noun," to settle (persons), as in a colony."
plant,noun," to say or place (something) in order to obtain a desired result, especially one that will seem spontaneous:"
plant,noun," Carpentry. to nail, glue, or otherwise attach (a molding or the like) to a surface."
plant,noun, to place (a person) secretly in a group to function as a spy or to promote discord.
plant,noun," Slang. to hide or conceal, as stolen goods."
plastic,noun," Often  any of a group of synthetic or natural organic materials that may be shaped when soft and then hardened, including many types of resins, resinoids, polymers, cellulose derivatives, casein materials, and proteins: used in place of other materials, as glass, wood, and metals, in construction and decoration, for making many articles, as coatings, and, drawn into filaments, for weaving. They are often known by trademark names, as Bakelite, Vinylite, or Lucite."
plastic,noun," a credit card, or credit cards collectively, usually made of plastic:"
plastic,noun," money, payment, or credit represented by the use of a credit card or cards."
plastic,noun," something, or a group of things, made of or resembling plastic:"
plastic,noun, made of plastic.
plastic,noun, capable of being molded or of receiving form:
plastic,noun, produced by molding:
plastic,noun, having the power of molding or shaping formless or yielding material:
plastic,noun," being able to create, especially within an art form; having the power to give form or formal expression:"
plastic,noun, Fine Arts. 
plastic,noun, pliable; impressionable:
plastic,noun, giving the impression of being made of or furnished with plastic:
plastic,noun, artificial or insincere; synthetic; phony:
plastic,noun," lacking in depth, individuality, or permanence; superficial, dehumanized, or mass-produced:"
plastic,noun, of or relating to the use of credit cards:
plastic,noun," Biology, Pathology. formative."
plastic,noun," Surgery. concerned with or pertaining to the remedying or restoring of malformed, injured, or lost parts:"
-plastic,N/A, a combining form occurring in chloroplastic; protoplastic.
plate,noun," a shallow, usually circular dish, often of earthenware or porcelain, from which food is eaten."
plate,noun, the contents of such a dish.
plate,noun, an entire course of a meal served on such a dish:
plate,noun," the food and service for one person, as at a banquet, fund-raising dinner, or the like:"
plate,noun," household dishes, utensils, etc., of metal plated with gold or silver."
plate,noun," household dishes, utensils, etc., made of gold or silver."
plate,noun," Also called  col·lec·tion plate [k, uh, -, lek, -sh, uh, n pleyt],. a dish, as of metal or wood, used for collecting offerings, as in a church:"
plate,noun," a thin, flat sheet or piece of metal or other material, especially of uniform thickness."
plate,noun, metal in such sheets.
plate,noun," a flat, polished piece of metal on which something may be or is engraved."
plate,noun, Usually plates. license plate:
plate,noun," a flat or curved sheet of metal, plastic, glass, or similar hard material, on which a picture or text has been engraved, etched, molded, photographically developed, or drawn, that is inked, as in a press, for printing impressions on other surfaces."
plate,noun," a printed impression from such a piece or from some similar piece, as a woodcut."
plate,noun," a full-page illustration in a book, especially an insert on paper different from the text pages."
plate,noun," a piece of armor made from a thin, flat piece or several such pieces of tough material, especially wrought iron or steel."
plate,noun," armor composed of thin, flat pieces; plate armor."
plate,noun, Dentistry. 
plate,noun, Baseball. 
plate,noun, plate glass.
plate,noun," Photography. a sheet of glass, metal, etc., coated with a sensitized emulsion, used for taking a photograph."
plate,noun," Anatomy, Zoology. a platelike part, structure, or organ."
plate,noun, a thin piece or cut of beef from the lower end of the ribs.
plate,noun, Geology. crustal plate:
plate,noun," Electronics. one of the interior elements of a vacuum tube, toward which electrons are attracted by virtue of its positive charge; anode. : P"
plate,noun," Carpentry. any of various horizontal timbers or boards laid flat across the heads of studding, upon floors, etc., to support joists, rafters, or studs at or near their ends."
plate,noun, a gold or silver cup or the like awarded as the prize in a horse race or some other contest.
plate,noun, a horse race or some other contest for such a prize.
plate,noun, Heraldry. a rounded argent.
plate,noun," to coat (metal) with a thin film of gold, silver, nickel, etc., by mechanical or chemical means."
plate,noun, to cover or overlay with metal plates for protection.
plate,noun, to place (food) on or in a dish before serving (often followed by up ):
plate,noun, Metalworking. 
plate,noun, Printing. to make a stereotype or electrotype plate from (type).
plate,noun," Papermaking. to give a high gloss to (paper), as on supercalendered paper."
plate,noun," a coin, especially of silver."
platform,noun," a horizontal surface, or structure with a horizontal surface, raised above the level of the surrounding area."
platform,noun," a raised flooring or other horizontal surface, such as a stage for use by public speakers, performers, etc., in a hall or meeting place."
platform,noun, a place for public discussion; forum.
platform,noun," the raised area between or alongside the tracks of a railroad station, from which the cars of the train are entered."
platform,noun," the open entrance area, or the vestibule, at the end of a railroad passenger car."
platform,noun, a landing in a flight of stairs.
platform,noun," a public statement of the principles, objectives, and policy of a political party, especially as put forth by the representatives of the party in a convention to nominate candidates for an election:"
platform,noun, a body of principles on which a person or group takes a stand in appealing to the public; program; policy:
platform,noun, a system of religious principles or doctrines.
platform,noun, a decklike construction on which the drill rig of an offshore oil or gas well is erected.
platform,noun, Digital Technology. 
platform,noun," Also plat·form busi·ness mod·el. a business model that facilitates financial, social, collaborative, or other connections between large networks of producers and consumers, typically through digital technology infrastructure:"
platform,noun," Building Trades. a relatively flat member or construction for distributing weight, as a wall plate, grillage, etc."
platform,noun, Military. 
platform,noun, Nautical. flat 1( def 42a ).
platform,noun," a flat, elevated piece of ground."
platform,noun," Geology. a vast area of undisturbed sedimentary rocks that, together with a shield, constitutes a craton."
platform,noun, 
play,noun, a dramatic composition or piece; drama.
play,noun," a dramatic performance, as on the stage."
play,noun, exercise or activity for amusement or recreation.
play,noun," fun or jest, as opposed to seriousness:"
play,noun, a pun:
play,noun," the playing, action, or conduct of a game:"
play,noun, the manner or style of playing or of doing something:
play,noun, an act or instance of playing or of doing something:
play,noun, one's turn to play:
play,noun, a playing for stakes; gambling.
play,noun," an attempt to accomplish something, often in a manner showing craft or calculation; maneuver:"
play,noun, an enterprise or venture; deal:
play,noun," action, conduct, or dealing of a specified kind:"
play,noun," action, activity, or operation:"
play,noun," brisk, light, or changing movement or action:"
play,noun," elusive change or movement, as of light or colors:"
play,noun," a space in which something, as a part of a mechanism, can move."
play,noun," freedom of movement within a space, as of a part of a mechanism."
play,noun," freedom for action, or scope for activity:"
play,noun, attention in the press or other media; coverage; dissemination as news:
play,noun, an act or instance of being broadcast:
play,noun, to act the part of (a person or character) in a dramatic performance; portray:
play,noun," to perform (a drama, pantomime, etc.) on or as if on the stage."
play,noun, to act or sustain (a part) in a dramatic performance or in real life:
play,noun, to act the part or character of in real life:
play,noun," to give performances in, as a theatrical company does:"
play,noun," to engage in (a game, pastime, etc.)."
play,noun, to contend against in a game.
play,noun, to function or perform as (a specified player) in a game or competition:
play,noun," to employ (a piece of equipment, a player, etc.) in a game:"
play,noun," to use as if in playing a game, as for one's own advantage:"
play,noun," to stake or wager, as in a game."
play,noun, to lay a wager or wagers on (something).
play,noun," to represent or imitate, as for recreation or in jest:"
play,noun, to perform on (a musical instrument).
play,noun, to perform (music) on an instrument.
play,noun," to cause (a phonograph, radio, recording, etc.) to produce sound or pictures:"
play,noun, to do or perform:
play,noun, to carry or put into operation; act upon:
play,noun, to cause to move or change lightly or quickly:
play,noun," to operate or cause to operate, especially continuously or with repeated action:"
play,noun, to allow (a hooked fish) to exhaust itself by pulling on the line.
play,noun," to display or feature (a news story, photograph, etc.), especially prominently:"
play,noun," to exploit or trade in (an investment, business opportunity, stock, etc.)."
play,noun," to exercise or employ oneself in diversion, amusement, or recreation."
play,noun, to do something in sport that is not to be taken seriously.
play,noun, to amuse oneself; toy; trifle (often followed by with ).
play,noun, to take part or engage in a game.
play,noun, to take part in a game for stakes; gamble.
play,noun, to conduct oneself or act in a specified way:
play,noun, to act on or as if on the stage; perform.
play,noun, to perform on a musical instrument.
play,noun, (of an instrument or music) to sound in performance:
play,noun," (of a phonograph, radio, recording, etc.) to give forth sound:"
play,noun, to be performed or shown:
play,noun," to be capable of or suitable for performance, as a television or dramatic script:"
play,noun, Informal. to be accepted or effective; fare:
play,noun," to move freely within a space, as a part of a mechanism."
play,noun, to move about lightly or quickly:
play,noun," to present the effect of such motion, as light or the changing colors of an iridescent substance:"
play,noun, to operate continuously or with repeated action.
play,noun, Informal. to comply or cooperate:
play,noun, 
play,noun, 
play,noun, 
play,noun, Informal. 
play,noun," to exploit, as the feelings or weaknesses of another; take selfish advantage of:"
play,noun, 
play,noun, to treat as of little importance; minimize:
play,noun, to emphasize the importance of; highlight or publicize:
play,noun," to play (a recording, especially one newly made):"
player,noun, a person or thing that plays.
player,noun, a person who takes part or is skilled in some game or sport.
player,noun, a person who plays parts on the stage; an actor.
player,noun, a performer on a musical instrument.
player,noun," Informal. a participant, as in a conference or business deal."
player,noun, a machine or piece of software that reproduces sound or images: a videodisc player;
player,noun, a gambler.
player,noun," Slang. a person engaged in illicit or illegal activity, especially a pimp."
player,noun," a mechanical device by which a musical instrument, as a player piano, is played automatically."
Player,noun," Gary, born 1935, South African golfer."
pleasant,adjective," pleasing, agreeable, or enjoyable; giving pleasure:"
pleasant,adjective," (of persons, manners, disposition, etc.) socially acceptable or adept; polite; amiable; agreeable."
pleasant,adjective," fair, as weather:"
pleasant,adjective," Archaic. lively, sprightly, or merry."
pleasant,adjective, Obsolete. jocular or facetious.
please,adverb," (used as a polite addition to requests, commands, etc.) if you would be so obliging; kindly:"
please,adverb, to act to the pleasure or satisfaction of:
please,adverb, to be the pleasure or will of:
please,adverb," to like, wish, or feel inclined:"
please,adverb, to give pleasure or satisfaction; be agreeable:
pleasure,noun, the state or feeling of being pleased.
pleasure,noun, enjoyment or satisfaction derived from what is to one's liking; gratification; delight.
pleasure,noun, worldly or frivolous enjoyment:
pleasure,noun, recreation or amusement; diversion; enjoyment:
pleasure,noun, sensual gratification.
pleasure,noun, a cause or source of enjoyment or delight:
pleasure,noun, pleasurable quality:
pleasure,noun," one's will, desire, or choice:"
pleasure,noun," to give pleasure to, especially sexually; gratify; please."
pleasure,noun, to take pleasure; delight:
pleasure,noun," to seek pleasure, as by taking a holiday."
plenty,noun, a full or abundant supply or amount:
plenty,noun, the state or quality of being plentiful; abundance:
plenty,noun," an abundance, as of goods or luxuries, or a time of such abundance:"
plenty,noun, existing in ample quantity or number; plentiful; abundant:
plenty,noun, more than sufficient; ample:
plenty,noun, Informal. fully; quite:
plot,noun," a secret plan or scheme to accomplish some purpose, especially a hostile, unlawful, or evil purpose:"
plot,noun," Also called  storyline. the plan, scheme, or main story of a literary or dramatic work, as a play, novel, or short story."
plot,noun, a small piece or area of ground:
plot,noun, a measured piece or parcel of land:
plot,noun," a plan, map, diagram, or other graphic representation, as of land, a building, etc."
plot,noun," a list, timetable, or scheme dealing with any of the various arrangements for the production of a play, motion picture, etc.:"
plot,noun," a chart showing the course of a craft, as a ship or airplane."
plot,noun, Artillery. a point or points located on a map or chart:
plot,noun," to plan secretly, especially something hostile or evil:"
plot,noun," to mark on a plan, map, or chart, as the course of a ship or aircraft."
plot,noun," to draw a plan or map of, as a tract of land or a building."
plot,noun, to divide (land) into plots.
plot,noun," to determine and mark (points), as on plotting paper, by means of measurements or coordinates."
plot,noun, to draw (a curve) by means of points so marked.
plot,noun, to represent by means of such a curve.
plot,noun," to devise or construct the plot of (a play, novel, etc.)."
plot,noun," to prepare a list, timetable, or scheme of (production arrangements), as for a play or motion picture:"
plot,noun, to make (a calculation) by graph.
plot,noun, to plan or scheme secretly; form a plot; conspire.
plot,noun, to devise or develop a literary or dramatic plot.
plot,noun," to be marked or located by means of measurements or coordinates, as on plotting paper."
plus,preposition, more by the addition of; increased by:
plus,preposition, with the addition of; with:
plus,preposition, involving or noting addition.
plus,preposition, positive:
plus,preposition, more (by a certain amount).
plus,preposition, Electricity. pertaining to or characterized by positive electricity:
plus,preposition," Mycology. (in heterothallic fungi) designating, in the absence of morphological differentiation, one of the two strains of mycelia that unite in the sexual process."
plus,preposition, having a certain quality to an unusual degree:
plus,preposition, a plus quantity.
plus,preposition, Arithmetic. plus sign.
plus,preposition, something additional.
plus,preposition, a surplus or gain.
plus,preposition, Informal. also; and; furthermore:
plus,preposition, in addition; besides.
pocket,noun, a shaped piece of fabric attached inside or outside a garment and forming a pouch used especially for carrying small articles.
pocket,noun, a bag or pouch.
pocket,noun," any pouchlike receptacle, compartment, hollow, or cavity:"
pocket,noun," an envelope, flat receptacle, etc., open at one end, used for storing something thin:"
pocket,noun," a recess, as in a wall, for receiving a sliding door, sash weights, etc."
pocket,noun," any isolated group, area, element, etc., that contrasts with a surrounding element or group:"
pocket,noun, level of financial resources:
pocket,noun, Mining. 
pocket,noun," Billiards, Pool. any of the pouches or bags at the corners and sides of the table."
pocket,noun, a position in which a competitor in a race is so hemmed in by others that their progress is impeded.
pocket,noun," Football. the area from which a quarterback throws a pass, usually a short distance behind the line of scrimmage and protected by a wall of blockers."
pocket,noun," Bowling. the space between the headpin and the pin next behind to the left or right, taken as the target for a strike."
pocket,noun," Baseball. the deepest part of a mitt or glove, roughly in the area around the center of the palm, where most balls are caught."
pocket,noun," Nautical. a holder consisting of a strip of sailcloth sewed to a sail, and containing a thin wooden batten that stiffens the leech of the sail."
pocket,noun, Anatomy. any saclike cavity in the body:
pocket,noun, stage pocket.
pocket,noun, an English unit of weight for hops equivalent to 168 pounds (76.4 kilograms).
pocket,noun, small enough or suitable for carrying in the pocket:
pocket,noun, relatively small; smaller than usual:
pocket,noun, to put into one's pocket:
pocket,noun," to take possession of as one's own, often dishonestly:"
pocket,noun, to submit to or endure without protest or open resentment:
pocket,noun, to conceal or suppress:
pocket,noun, to enclose or confine in or as if in a pocket:
pocket,noun," Billiards, Pool. to drive (a ball) into a pocket."
pocket,noun, pocket-veto.
pocket,noun," to hem in (a contestant) so as to impede progress, as in racing."
poem,noun," a composition in verse, especially one that is characterized by a highly developed artistic form and by the use of heightened language and rhythm to express an intensely imaginative interpretation of the subject."
poem,noun," composition that, though not in verse, is characterized by great beauty of language or expression:"
poem,noun, something having qualities that are suggestive of or likened to those of poetry:
poet,noun, a person who composes poetry.
poet,noun," a person who has the gift of poetic thought, imagination, and creation, together with eloquence of expression."
poet.,abbreviation for, poetic.
poet.,abbreviation for, poetical.
poet.,abbreviation for, poetry.
poetry,noun," the art of rhythmical composition, written or spoken, for exciting pleasure by beautiful, imaginative, or elevated thoughts."
poetry,noun, literary work in metrical form; verse.
poetry,noun, prose with poetic qualities.
poetry,noun, poetic qualities however manifested:
poetry,noun, poetic spirit or feeling:
poetry,noun, something suggestive of or likened to poetry:
point,noun," a sharp or tapering end, as of a dagger."
point,noun, a projecting part of anything:
point,noun, a tapering extremity:
point,noun, something having a sharp or tapering end:
point,noun," a pointed tool or instrument, as an etching needle."
point,noun, a stone implement with a tapering end found in some Middle and Upper Paleolithic and Mesolithic cultures and used primarily for hunting.
point,noun, a mark made with or as if with the sharp end of something:
point,noun," any mark of punctuation, especially a period."
point,noun, decimal point:
point,noun, Phonetics. a diacritic indicating a vowel or other modification of sound.
point,noun, one of the embossed dots used in certain systems of writing and printing for the blind.
point,noun," something that has position but not extension, as the intersection of two lines."
point,noun, a place of which the position alone is considered; spot:
point,noun," any definite position, as in a scale, course, etc.:"
point,noun," (in acupuncture) a particular spot on the body at which a needle may be inserted, as to relieve pain."
point,noun," Navigation. any of 32 separate horizontal directions, 11° 15′ apart, as indicated on the card of a compass or gauged with reference to the heading of a vessel."
point,noun," Nautical. Also called  point of sail·ing. the bearing of a sailing vessel, considered with relation to the direction of the wind."
point,noun, a degree or stage:
point,noun, a particular instant of time:
point,noun, a critical position in a course of affairs:
point,noun, a decisive state of circumstances:
point,noun, the important or essential thing:
point,noun," the salient feature of a story, epigram, joke, etc.:"
point,noun," a particular aim, end, or purpose:"
point,noun, a hint or suggestion:
point,noun," a single or separate article or item, as in an extended whole; a detail or particular:"
point,noun, an individual part or element of something:
point,noun," a distinguishing mark or quality, especially one of an animal, used as a standard in stockbreeding, judging, etc."
point,noun," points, the external features of an animal, especially a horse or dog, that make up its conformation:"
point,noun," a single unit, as in counting."
point,noun, a unit of count in the score of a game:
point,noun, (in craps) the number that must be thrown to win but not including 7 or 11 on the first roll:
point,noun," Ice Hockey. either of two positions, to the right or left of the goal, to which an attacking defenseman is assigned, usually in the execution of a power play, to help keep the puck in the attacking zone."
point,noun," Basketball. a position in the front court, usually taken by the guard in charge of setting up the team's offense."
point,noun, Cricket. 
point,noun, Chiefly Boxing. the end or tip (of the chin).
point,noun, Hunting. 
point,noun, a branch of an antler of a deer:
point,noun, Sports. a cross-country run.
point,noun, one of the narrow tapering spaces marked on a backgammon board.
point,noun," Education. a single credit, usually corresponding to an hour's class work per week for one semester."
point,noun, Electricity. 
point,noun, Commerce. 
point,noun," any of various units used to award credit, benefits, or penalties: Earn points every time you use the credit card at restaurants."
point,noun," one percent of the face value of a loan, especially a mortgage loan, added on as a placement fee or a service charge and paid in advance or upon closing of the loan."
point,noun, Jewelry. a unit of weight equal to 1/100 (.01) of a carat.
point,noun, Military. 
point,noun, Printing. 
point,noun," a unit of measure of paper or card thickness, equal to 0.001 inch."
point,noun," Medicine/Medical. Also called  vac·cine point. (in historical use) a thin, pointed, vaccine-coated piece of bone or the like, for use in vaccinating."
point,noun, point lace.
point,noun, any lace made by hand.
point,noun, Heraldry. one of the pendent parts of a label.
point,noun, Railroads. 
point,noun, (in the game of go) any place where lines intersect or meet.
point,noun, act of pointing.
point,noun," Archaic. a tagged ribbon or cord, formerly much used in dress, as for tying or fastening parts."
point,noun, Obsolete. an end or conclusion.
point,noun," Obsolete. a pointed weapon, as a dagger."
point,noun," Obsolete. a condition, situation, or plight:"
point,noun," to direct (the finger, a weapon, the attention, etc.) at, to, or upon something:"
point,noun, to indicate the presence or position of (usually followed by out ):
point,noun, to direct attention to (usually followed by out ):
point,noun, to furnish with a point or points; sharpen:
point,noun," to mark with one or more points, dots, or the like."
point,noun," Sculpture. to transfer measurements of depth from a clay, wax, or plaster model to (a block of stone) by means of an apparatus that drills holes to the required depth prior to carving."
point,noun," to punctuate, as writing."
point,noun, Phonetics. to mark (letters) with points.
point,noun, to separate (figures) by dots or points (usually followed by off ).
point,noun, Hunting. (of a hunting dog) to indicate the presence and location of (game) by standing rigid and facing toward the game.
point,noun, Masonry. 
point,noun, to dress (a stone) with a point.
point,noun, Metalworking. 
point,noun," to indicate position or direction, as with the finger:"
point,noun, to direct the mind or thought in some direction; call attention to:
point,noun, to aim:
point,noun, to have a tendency toward something:
point,noun, to have a specified direction:
point,noun," to face in a particular direction, as a building."
point,noun, Hunting. (of a hunting dog) to point game.
point,noun, Nautical. to sail close to the wind.
point,noun, (of an abscess) to come to a head.
point,noun, to give greater or added force to:
pointed,adjective, having a point or points:
pointed,adjective, sharp or piercing:
pointed,adjective," having direct effect, significance, or force:"
pointed,adjective, aimed; directed:
pointed,adjective," directed particularly, as at a person:"
pointed,adjective, marked; emphasized:
pointed,adjective, Heraldry. (of a cross) having parallel sides with points formed by two inclined sides on each end:
poison,noun, a substance with an inherent property that tends to destroy life or impair health.
poison,noun," something harmful or pernicious, as to happiness or well-being:"
poison,noun, Slang. any variety of alcoholic liquor:
poison,noun, to administer poison to (a person or animal).
poison,noun, to kill or injure with or as if with poison.
poison,noun, to put poison into or upon; saturate with poison:
poison,noun," to ruin, vitiate, or corrupt:"
